"Consequent","Split Value 1","Split Value 2","Split Value 3","ItemSetSupport","RelativeItemSetSupport%","RuleConfidence%","AbsoluteBodySetSupport","RelativeBodySetSupport%","RuleLift","RuleLift%","AbsoluteHeadItemSupport","RelativeHeadItemSupport%"
"parc","Cluster_25",,,91,2.07857,27.9,326.0,7.4,10.81487,1081.48651,113.0,2.58109
"terreaux","Cluster_23_presquile",,,16,0.36546,6.4,250.0,5.7,4.44749,444.74921,63.0,1.43901
"canon","Cluster_25",,,34,0.77661,10.4,326.0,7.4,4.90969,490.96906,93.0,2.12426
"charlemagn","Cluster_10",,,157,3.58611,92.9,169.0,3.9,25.90533,2590.53254,157.0,3.58611
"bellecour","Cluster_22_presquile",,,32,0.73093,14.2,226.0,5.2,8.05057,805.05689,77.0,1.75879
"lion","Cluster_10",,,123,2.8095,72.8,169.0,3.9,16.34028,1634.02822,195.0,4.45409
"franc","Cluster_10",,,19,0.43399,11.2,169.0,3.9,0.24512,24.51201,2008.0,45.86569
"lyon","Cluster_10",,,168,3.83737,99.4,169.0,3.9,1.23815,123.81493,3515.0,80.2878
"oldtown","Cluster_19",,,11,0.25126,5.8,189.0,4.3,3.14573,314.57313,81.0,1.85016
"vieuxlyon","Cluster_19",,,11,0.25126,5.8,189.0,4.3,1.76947,176.94738,144.0,3.28917
"nuit","Cluster_19",,,70,1.5989,37.0,189.0,4.3,7.11176,711.17609,228.0,5.20786
"fourvier","Cluster_19",,,94,2.1471,49.7,189.0,4.3,12.44239,1244.23885,175.0,3.99726
"citi","Cluster_19",,,12,0.2741,6.3,189.0,4.3,1.68466,168.46561,165.0,3.76884
"fourvièr","Cluster_19",,,47,1.07355,24.9,189.0,4.3,5.23418,523.41779,208.0,4.75103
"rhônealp","Cluster_19",,,14,0.31978,7.4,189.0,4.3,0.59178,59.17816,548.0,12.51713
"franc","Cluster_19",,,73,1.66743,38.6,189.0,4.3,0.84212,84.21183,2008.0,45.86569
"lyon","Cluster_19",,,121,2.76382,64.0,189.0,4.3,0.7974,79.73959,3515.0,80.2878
"blackandwhit","Cluster_25",,,18,0.41115,5.5,326.0,7.4,1.84527,184.52676,131.0,2.99223
"traboul","Cluster_15_presquile",,,34,0.77661,5.6,608.0,13.9,2.91455,291.4552,84.0,1.91868
"noiretblanc","Cluster_11_presquile",,,9,0.20557,5.8,154.0,3.5,1.75245,175.24462,146.0,3.33486
"noiretblanc","Cluster_25",,,18,0.41115,5.5,326.0,7.4,1.65569,165.56854,146.0,3.33486
"rhonealp","Cluster_22_presquile",,,21,0.47967,9.3,226.0,5.2,3.28069,328.0688,124.0,2.83234
"rhonealp","Cluster_23",,,18,0.41115,5.8,311.0,7.1,2.04346,204.34602,124.0,2.83234
"night","Cluster_15_presquile",,,36,0.82229,5.9,608.0,13.9,2.49254,249.25354,104.0,2.37551
"oldtown","Cluster_15_presquile",,,40,0.91366,6.6,608.0,13.9,3.55588,355.58804,81.0,1.85016
"citi","Cluster_22_presquile",,,15,0.34262,6.6,226.0,5.2,1.76106,176.10619,165.0,3.76884
"fourvièr","Cluster_22_presquile",,,12,0.2741,5.3,226.0,5.2,1.1176,111.7597,208.0,4.75103
"street","Cluster_22_presquile",,,20,0.45683,8.8,226.0,5.2,1.78541,178.54084,217.0,4.9566
"upload","Cluster_22_presquile",,,16,0.36546,7.1,226.0,5.2,0.61989,61.98938,500.0,11.42074
"europ","Cluster_22_presquile",,,51,1.16492,22.6,226.0,5.2,2.35789,235.78896,419.0,9.57058
"rhônealp","Cluster_22_presquile",,,15,0.34262,6.6,226.0,5.2,0.53025,53.02468,548.0,12.51713
"franc","Cluster_22_presquile",,,100,2.28415,44.2,226.0,5.2,0.96473,96.47252,2008.0,45.86569
"lyon","Cluster_22_presquile",,,208,4.75103,92.0,226.0,5.2,1.14632,114.63186,3515.0,80.2878
"street","Cluster_11_presquile",,,21,0.47967,13.6,154.0,3.5,2.75115,275.11521,217.0,4.9566
"foursquar","Cluster_11_presquile",,,54,1.23344,35.1,154.0,3.5,6.06776,606.77583,253.0,5.77889
"lyo15","Cluster_11_presquile",,,8,0.18273,5.2,154.0,3.5,1.4126,141.25998,161.0,3.67748
"frankreich","Cluster_11_presquile",,,8,0.18273,5.2,154.0,3.5,1.29959,129.95918,175.0,3.99726
"byinstagram","Cluster_11_presquile",,,62,1.41617,40.3,154.0,3.5,3.90814,390.81406,451.0,10.30151
"instagramapp","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.95364,395.36424,453.0,10.34719
"iphoneographi","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.95364,395.36424,453.0,10.34719
"squareformat","Cluster_11_presquile",,,64,1.46185,41.6,154.0,3.5,3.97255,397.25515,458.0,10.4614
"squar","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.84335,384.33476,466.0,10.64413
"upload","Cluster_11_presquile",,,63,1.43901,40.9,154.0,3.5,3.582,358.2,500.0,11.42074
"europ","Cluster_11_presquile",,,14,0.31978,9.1,154.0,3.5,0.94988,94.98807,419.0,9.57058
"nikon","Cluster_11_presquile",,,10,0.22841,6.5,154.0,3.5,0.97358,97.35812,292.0,6.66971
"rhônealp","Cluster_11_presquile",,,13,0.29694,8.4,154.0,3.5,0.6744,67.44004,548.0,12.51713
"franc","Cluster_11_presquile",,,45,1.02787,29.2,154.0,3.5,0.63709,63.70945,2008.0,45.86569
"lyon","Cluster_11_presquile",,,90,2.05573,58.4,154.0,3.5,0.7279,72.79008,3515.0,80.2878
"d3200","Cluster_15_presquile",,,38,0.86798,6.2,608.0,13.9,3.14511,314.51149,87.0,1.98721
"winter","Cluster_15_presquile",,,38,0.86798,6.2,608.0,13.9,2.97418,297.41848,92.0,2.10142
"vieuxlyon","Cluster_15_presquile",,,95,2.16994,15.6,608.0,13.9,4.75043,475.0434,144.0,3.28917
"nuit","Cluster_23_presquile",,,61,1.39333,24.4,250.0,5.7,4.68523,468.52281,228.0,5.20786
"street","Cluster_23_presquile",,,23,0.52535,9.2,250.0,5.7,1.85611,185.61106,217.0,4.9566
"foursquar","Cluster_23_presquile",,,15,0.34262,6.0,250.0,5.7,1.03826,103.82609,253.0,5.77889
"byinstagram","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.9319,93.19024,451.0,10.30151
"instagramapp","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.92779,92.77881,453.0,10.34719
"iphoneographi","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.92779,92.77881,453.0,10.34719
"squareformat","Cluster_23_presquile",,,25,0.57104,10.0,250.0,5.7,0.9559,95.58952,458.0,10.4614
"squar","Cluster_23_presquile",,,27,0.61672,10.8,250.0,5.7,1.01464,101.46438,466.0,10.64413
"upload","Cluster_23_presquile",,,24,0.5482,9.6,250.0,5.7,0.84058,84.0576,500.0,11.42074
"rhônealp","Cluster_23_presquile",,,17,0.38831,6.8,250.0,5.7,0.54326,54.32555,548.0,12.51713
"franc","Cluster_23_presquile",,,56,1.27912,22.4,250.0,5.7,0.48838,48.83825,2008.0,45.86569
"lyon","Cluster_23_presquile",,,192,4.38556,76.8,250.0,5.7,0.95656,95.65587,3515.0,80.2878
"fourvier","Cluster_23",,,22,0.50251,7.1,311.0,7.1,1.7697,176.97014,175.0,3.99726
"rhone","Cluster_23",,,28,0.63956,9.0,311.0,7.1,3.00886,300.88609,131.0,2.99223
"rhône","Cluster_25",,,32,0.73093,9.8,326.0,7.4,2.02709,202.70865,212.0,4.84239
"upload","Cluster_25",,,20,0.45683,6.1,326.0,7.4,0.53718,53.71779,500.0,11.42074
"rhônealp","Cluster_25",,,43,0.98218,13.2,326.0,7.4,1.05377,105.37705,548.0,12.51713
"franc","Cluster_25",,,137,3.12928,42.0,326.0,7.4,0.91625,91.62522,2008.0,45.86569
"lyon","Cluster_25",,,285,6.50982,87.4,326.0,7.4,1.08887,108.88742,3515.0,80.2878
"basiliqu","Cluster_23",,,76,1.73595,24.4,311.0,7.1,8.84186,884.18591,121.0,2.76382
"rhône","Cluster_15_presquile",,,33,0.75377,5.4,608.0,13.9,1.12086,112.08571,212.0,4.84239
"fourvièr","Cluster_23",,,101,2.30699,32.5,311.0,7.1,6.83555,683.55491,208.0,4.75103
"architectur","Cluster_15_presquile",,,44,1.00503,7.2,608.0,13.9,1.77994,177.99379,178.0,4.06578
"kirch","Cluster_23",,,28,0.63956,9.0,311.0,7.1,3.98142,398.14219,99.0,2.26131
"church","Cluster_23",,,41,0.9365,13.2,311.0,7.1,4.1226,412.25999,140.0,3.19781
"l35d800","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"leitax","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"summicronr35mmf2","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"summicronr","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"summicron","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"leitz","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.60024,260.02417,157.0,3.58611
"leica","Cluster_23",,,30,0.68524,9.6,311.0,7.1,2.67288,267.28805,158.0,3.60895
"d800","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.56753,256.75342,159.0,3.6318
"lyo15","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.53564,253.56394,161.0,3.67748
"35mm","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.48926,248.92557,164.0,3.746
"frankreich","Cluster_23",,,29,0.6624,9.3,311.0,7.1,2.33279,233.27882,175.0,3.99726
"nikon","Cluster_23",,,32,0.73093,10.3,311.0,7.1,1.5427,154.27036,292.0,6.66971
"rhônealp","Cluster_23",,,64,1.46185,20.6,311.0,7.1,1.64405,164.40491,548.0,12.51713
"franc","Cluster_23",,,202,4.61398,65.0,311.0,7.1,1.41613,141.61297,2008.0,45.86569
"lyon","Cluster_23",,,272,6.21288,87.5,311.0,7.1,1.08933,108.93287,3515.0,80.2878
"foursquar","Cluster_15_presquile",,,35,0.79945,5.8,608.0,13.9,0.99614,99.61384,253.0,5.77889
"byinstagram","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.06972,106.97208,451.0,10.30151
"instagramapp","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.065,106.4998,453.0,10.34719
"iphoneographi","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.065,106.4998,453.0,10.34719
"squareformat","Cluster_15_presquile",,,68,1.55322,11.2,608.0,13.9,1.06909,106.90933,458.0,10.4614
"squar","Cluster_15_presquile",,,67,1.53038,11.0,608.0,13.9,1.03529,103.52877,466.0,10.64413
